,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
29,花木兰,巴里·库克,"['温明娜', '艾迪·墨菲', '哈维·费斯特恩', '米盖尔·弗尔', '吴汉章']",7.8,['1998'],"['剧情', '动画', '家庭', '冒险']",88,174605,英语, 美国,45.70666666666667
30,一一,杨德昌,"['吴念真', '李凯莉', '金燕玲', '张洋洋', '萧淑慎']",9.0,['2000'],"['剧情', '爱情', '家庭']",173,224321,汉语普通话, 中国台湾,47.34
31,金刚：骷髅岛,乔丹·沃格特-罗伯茨,"['汤姆·希德勒斯顿', '布丽·拉尔森', '塞缪尔·杰克逊', '约翰·古德曼', '景甜']",6.6,['2017'],"['动作', '奇幻', '冒险']",119,175219,英语, 美国,55.64666666666667
32,海街日记,是枝裕和,"['绫濑遥', '长泽雅美', '夏帆', '广濑铃', '大竹忍']",8.7,['2015'],"['剧情', '家庭']",127,236458,日语, 日本,54.36333333333334
33,小森林,森淳一,"['桥本爱', '三浦贵大', '松冈茉优', '温水洋一', '桐岛加恋']",9.0,['2015'],['剧情'],120,218194,日语, 日本,60.23
34,摩天营救,罗森·马歇尔·瑟伯,"['道恩·强森', '内芙·坎贝尔', '黄经汉', '罗兰·默勒', '麦肯娜·罗伯茨']",6.3,['2018'],"['动作', '惊悚', '冒险']",102,136149,英语, 美国,51.80666666666667
35,猩球崛起3：终极之战,马特·里夫斯,"['安迪·瑟金斯', '伍迪·哈里森', '斯蒂夫·扎恩', '卡琳·考诺娃', '阿米尔·米勒']",6.9,['2017'],"['剧情', '动作', '科幻']",140,167287,英语, 美国,52.54
36,魂断蓝桥,茂文·勒鲁瓦,"['费雯·丽', '罗伯特·泰勒', '露塞尔·沃特森', '弗吉尼亚·菲尔德', '玛丽亚·彭斯卡娅']",8.8,['1940'],"['剧情', '爱情', '战争']",108,175340,英语, 美国,51.5
37,异形：契约,雷德利·斯科特,"['迈克尔·法斯宾德', '凯瑟琳·沃特斯顿', '比利·克鲁德普', '丹尼·麦克布莱德', '德米安·比齐尔']",7.4,['2017'],"['科幻', '恐怖']",122,190773,英语, 美国,63.699999999999996
38,一个叫欧维的男人决定去死,汉内斯·赫尔姆,"['罗夫·拉斯加德', '巴哈·帕斯', '托比亚斯·阿姆博瑞', '菲利普·伯格', '安娜-莱娜·布伦丁']",8.8,['2015'],['剧情'],116,218310,瑞典语, 瑞典,51.830000000000005
39,寒战2,梁乐民,"['郭富城', '梁家辉', '杨采妮', '彭于晏', '李治廷']",7.0,['2016'],"['剧情', '动作', '犯罪']",110,189042,汉语普通话, 中国大陆,55.54
40,独立日,罗兰·艾默里奇,"['威尔·史密斯', '比尔·普尔曼', '杰夫·高布伦', '玛丽·麦克唐纳', '贾德·赫希']",8.0,['1996'],"['动作', '科幻', '冒险', '灾难']",145,201853,英语, 美国,58.64000000000001
41,红辣椒,今敏,"['林原惠美', '江守彻', '堀胜之祐', '古谷彻', '大塚明夫']",9.0,['2006'],"['科幻', '动画', '悬疑', '惊悚']",90,234868,日语, 日本,56.07
42,窃听风云2,麦兆辉,"['古天乐', '刘青云', '吴彦祖', '曾江', '叶璇']",7.5,['2011'],"['剧情', '动作', '悬疑', '犯罪']",117,193680,粤语, 中国香港,60.89666666666667
43,爱,钮承泽,"['舒淇', '赵薇', '赵又廷', '阮经天', '陈意涵']",6.9,['2012'],"['剧情', '爱情']",128,209182,汉语普通话, 中国台湾,69.42999999999999
